Team,Real Pts,Bet Pts_B365,Bet Pts_BW,Bet Pts_IW,Bet Pts_PS,Bet Pts_VC,Bet Pts_WH
Man City,89,114,114,114,114,114,114
Arsenal,84,99,100,102,102,99,99
Man United,75,90,88,90,87,90,90
Newcastle,71,91,90,91,90,93,93
Liverpool,67,96,96,96,99,96,96
Brighton,62,73,72,75,72,73,73
Aston Villa,61,54,54,54,54,54,54
Tottenham,60,81,81,81,81,81,81
Brentford,59,43,42,42,42,42,42
Fulham,52,30,33,30,30,30,30
Crystal Palace,45,42,42,42,42,42,40
Chelsea,44,88,90,84,87,88,88
Wolves,41,37,37,37,39,36,36
West Ham,40,52,52,51,51,51,55
Bournemouth,39,8,6,6,6,8,7
Nott'm Forest,38,13,15,15,15,14,14
Everton,36,34,36,36,36,36,36
Leicester,34,45,45,45,45,43,43
Leeds,31,31,30,33,33,33,30
Southampton,25,13,15,15,15,13,15
