Team,Color,ImgUrl,Info
Man City,#6CADDF,data/team_images/Man City.png,"Originally named Ardwick Association Football Club in 1887, the club became Manchester City in 1894."
Arsenal,#EF0107,data/team_images/Arsenal.png,"Arsenal FC was the first club from the South of England to join The Football League, in 1893."
Man United,#DA291C,data/team_images/Man United.png,"Founded in 1878 as Newton Heath LYR Football Club, Manchester United is one of the most successful clubs in England."
Newcastle,#241F20,data/team_images/Newcastle.png,"Established in 1892 by the merger of Newcastle East End and Newcastle West End, the club has a historic ground, St. James' Park."
Liverpool,#C8102E,data/team_images/Liverpool.png,Liverpool Football Club was founded in 1892 and has won multiple European Cups.
Brighton,#0057B8,data/team_images/Brighton.png,"Founded in 1901, Brighton & Hove Albion, known as the Seagulls, play at the Amex Stadium."
Aston Villa,#670E36,data/team_images/Aston Villa.png,"One of the oldest clubs in England, Aston Villa was founded in 1874 and has a rich history of success."
Tottenham,#132257,data/team_images/Tottenham.png,"Founded in 1882 as Hotspur F.C., Tottenham has been the first club to achieve the League and FA Cup Double."
Brentford,#E30613,data/team_images/Brentford.png,"Established in 1889, Brentford FC has recently gained promotion to the Premier League."
Fulham,#000000,data/team_images/Fulham.png,"Fulham FC, founded in 1879, is London's oldest professional football club."
Crystal Palace,#0000FF,data/team_images/Crystal Palace.png,"Crystal Palace Football Club, formed in 1905, is known for its vibrant atmosphere."
Chelsea,#0000FF,data/team_images/Chelsea.png,Chelsea Football Club was founded in 1905 and has become one of the most successful clubs in England.
Wolves,#FFD700,data/team_images/Wolves.png,"Commonly known as Wolves, they were founded in 1877 and have won the FA Cup four times."
West Ham,#8B0000,data/team_images/West Ham.png,"Founded in 1895 as Thames Ironworks, West Ham United plays at the London Stadium."
Bournemouth,#FF0000,data/team_images/Bournemouth.png,"Originally known as Boscombe FC, Bournemouth was established in 1890."
Nott'm Forest,#FF0000,data/team_images/Nott'm Forest.png,"Founded in 1865, Nottingham Forest is known for winning the European Cup twice."
Everton,#0000FF,data/team_images/Everton.png,"Established in 1878, Everton has competed in the top division for a record 117 seasons."
Leicester,#0000FF,data/team_images/Leicester.png,"Founded in 1884 as Leicester Fosse, Leicester City is known for its miraculous Premier League win in 2016."
Leeds,#FFFFFF,data/team_images/Leeds.png,Leeds United was formed in 1919 and has a history of domestic success.
Southampton,#FF0000,data/team_images/Southampton.png,Southampton FC was founded in 1885 and plays at St Mary's Stadium.
